codigo_estacion,01201005,01201002,01201001
institucion,DGA,DGA,DGA
fuente,dga_web,dga_web,dga_web
nombre,Rio Caracarani En Humapalca,Rio Caracarani En Alcerreca,Rio Colpitas En Alcerreca
altura,3908,3253,3251
latitud,-17.8428,-17.9833,-17.9919
longitud,-69.6994,-69.6283,-69.6256
codigo_cuenca,12,12,12
nombre_cuenca,Rio Lluta,Rio Lluta,Rio Lluta
codigo_sub_cuenca,120,120,120
nombre_sub_cuenca,Rio Lluta Alto,Rio Lluta Alto,Rio Lluta Alto
inicio_observaciones,1973-08-15,1961-12-13,1961-12-13
fin_observaciones,2020-03-31,1997-09-11,2020-03-31
cantidad_observaciones,15930,3375,14577
inicio_automatica,2017-08-01,-,2019-07-01
1900-01-01,-9999,-9999,-9999
1900-01-02,-9999,-9999,-9999
1900-01-03,-9999,-9999,-9999
1900-01-04,-9999,-9999,-9999
1900-01-05,-9999,-9999,-9999
2020-03-08,0.127,-9999,1.660
2020-03-09,0.212,-9999,2.090
2020-03-10,0.540,-9999,3.644
2020-03-11,0.565,-9999,2.544
2020-03-12,1.511,-9999,2.028
2020-03-13,3.130,-9999,2.355
2020-03-14,1.368,-9999,3.039
2020-03-15,0.957,-9999,2.267
2020-03-16,0.809,-9999,2.638
2020-03-17,0.836,-9999,2.631
2020-03-18,1.131,-9999,2.447
2020-03-19,1.003,-9999,2.278
2020-03-20,0.536,-9999,2.003
2020-03-21,0.409,-9999,1.893
2020-03-22,0.322,-9999,1.667
2020-03-23,0.502,-9999,1.608
2020-03-24,0.872,-9999,0.862
2020-03-25,0.640,-9999,1.240
2020-03-26,0.397,-9999,0.740
2020-03-27,0.289,-9999,0.726
2020-03-28,0.255,-9999,0.707
2020-03-29,0.246,-9999,0.730
2020-03-30,0.247,-9999,0.736
2020-03-31,0.256,-9999,0.702